img,label
data/final_pot_holes/OIP.t3QumufCw1TzZavWHJRs_wHaE9.jpg,data/final_pot_holes/labels/OIP.t3QumufCw1TzZavWHJRs_wHaE9.txt
data/final_pot_holes/images7.jpg,data/final_pot_holes/labels/images7.txt
data/final_pot_holes/images88.jpg,data/final_pot_holes/labels/images88.txt
data/final_pot_holes/manhole_cover_345_jpg.rf.26f5365782f60fc67a76e1b689635cc0.jpg,data/final_pot_holes/labels/manhole_cover_345_jpg.rf.26f5365782f60fc67a76e1b689635cc0.txt
data/final_pot_holes/images108.jpg,data/final_pot_holes/labels/images108.txt
data/final_pot_holes/OIP.q_ZkWfx2Ukr7k_6V1q4lfgHaL4.jpg,data/final_pot_holes/labels/OIP.q_ZkWfx2Ukr7k_6V1q4lfgHaL4.txt
data/final_pot_holes/Rural-Road-Pothole.jpg,data/final_pot_holes/labels/Rural-Road-Pothole.txt
data/final_pot_holes/images113.jpg,data/final_pot_holes/labels/images113.txt
data/final_pot_holes/images278.jpg,data/final_pot_holes/labels/images278.txt
data/final_pot_holes/images182.jpg,data/final_pot_holes/labels/images182.txt
data/final_pot_holes/OIP.hvKkAycs_drNGQbptMukvQHaIX.jpg,data/final_pot_holes/labels/OIP.hvKkAycs_drNGQbptMukvQHaIX.txt
data/final_pot_holes/images225.jpg,data/final_pot_holes/labels/images225.txt
data/final_pot_holes/manhole_cover_497_jpg.rf.3ccb527c7c3bb429388014fbd3bed07e.jpg,data/final_pot_holes/labels/manhole_cover_497_jpg.rf.3ccb527c7c3bb429388014fbd3bed07e.txt
data/final_pot_holes/manhole_cover_456_jpg.rf.9ec0fc581e86aed8c1514e5bdca4991f.jpg,data/final_pot_holes/labels/manhole_cover_456_jpg.rf.9ec0fc581e86aed8c1514e5bdca4991f.txt
data/final_pot_holes/images_jpg.rf.f908ec5df6ed197adf3ba9d578f28a04.jpg,data/final_pot_holes/labels/images_jpg.rf.f908ec5df6ed197adf3ba9d578f28a04.txt
data/final_pot_holes/62_png_jpg.rf.c122661ba0a072f579ba14f2b921c124.jpg,data/final_pot_holes/labels/62_png_jpg.rf.c122661ba0a072f579ba14f2b921c124.txt
data/final_pot_holes/old-highway-with-holes-and-snow-landscape-road-potholes-in-cloudy-winter-weather-concept.jpg,data/final_pot_holes/labels/old-highway-with-holes-and-snow-landscape-road-potholes-in-cloudy-winter-weather-concept.txt
