img,label
data/images/OIP.t3QumufCw1TzZavWHJRs_wHaE9.jpg,data/labels/OIP.t3QumufCw1TzZavWHJRs_wHaE9.txt
data/images/images7.jpg,data/labels/images7.txt
data/images/images88.jpg,data/labels/images88.txt
data/images/manhole_cover_345_jpg.rf.26f5365782f60fc67a76e1b689635cc0.jpg,data/labels/manhole_cover_345_jpg.rf.26f5365782f60fc67a76e1b689635cc0.txt
data/images/images108.jpg,data/labels/images108.txt
data/images/OIP.q_ZkWfx2Ukr7k_6V1q4lfgHaL4.jpg,data/labels/OIP.q_ZkWfx2Ukr7k_6V1q4lfgHaL4.txt
data/images/Rural-Road-Pothole.jpg,data/labels/Rural-Road-Pothole.txt
data/images/images113.jpg,data/labels/images113.txt
data/images/images278.jpg,data/labels/images278.txt
data/images/images182.jpg,data/labels/images182.txt
data/images/OIP.hvKkAycs_drNGQbptMukvQHaIX.jpg,data/labels/OIP.hvKkAycs_drNGQbptMukvQHaIX.txt
data/images/images225.jpg,data/labels/images225.txt
data/images/manhole_cover_497_jpg.rf.3ccb527c7c3bb429388014fbd3bed07e.jpg,data/labels/manhole_cover_497_jpg.rf.3ccb527c7c3bb429388014fbd3bed07e.txt
data/images/manhole_cover_456_jpg.rf.9ec0fc581e86aed8c1514e5bdca4991f.jpg,data/labels/manhole_cover_456_jpg.rf.9ec0fc581e86aed8c1514e5bdca4991f.txt
data/images/images_jpg.rf.f908ec5df6ed197adf3ba9d578f28a04.jpg,data/labels/images_jpg.rf.f908ec5df6ed197adf3ba9d578f28a04.txt
data/images/62_png_jpg.rf.c122661ba0a072f579ba14f2b921c124.jpg,data/labels/62_png_jpg.rf.c122661ba0a072f579ba14f2b921c124.txt
data/images/old-highway-with-holes-and-snow-landscape-road-potholes-in-cloudy-winter-weather-concept.jpg,data/labels/old-highway-with-holes-and-snow-landscape-road-potholes-in-cloudy-winter-weather-concept.txt
data/images/manhole_cover_292_jpg.rf.ab1d53e4f4f8a024d6f19aab0a51a7b4.jpg,data/labels/manhole_cover_292_jpg.rf.ab1d53e4f4f8a024d6f19aab0a51a7b4.txt
